"id","vtype","name"
"1","car","Αντίκα"
"96","tractor","Στενά λάστιχα"
"97","tractor","Με ρεβέρσα"
"98","tractor","Αργό - Γρήγορο"
"99","tractor","Αερόφρενο"
"100","tractor","Με Κουβά"
"101","tractor","Τιμή χωρίς ΦΠΑ"
"102","tractor","Τιμή με ΦΠΑ"
"104","tractor","Σπαστό"
"105","tractor","Υδραυλικά Μπροστά"
"106","tractor","Καλοριφέρ"
"107","tractor","Καμπίνα"
"108","tractor","4x4"
"109","tractor","Κλιματισμός(A/C)"
"110","tractor","ABS"
"111","tractor","Νέα λάστιχα"
"113","boat","Φούρνος"
"114","boat","Roll Bar"
"115","boat","Tender"
"116","boat","Σκάλα μπάνιου"
"117","boat","Κουκούλα"
"118","boat","VHF"
"119","boat","Δελφινιέρα"
"120","boat","G.P.S."
"122","boat","Δεξαμενή λυμάτων"
"123","boat","Πυξίδα"
"124","boat","Τέντα"
"125","boat","Ανεμόμετρο"
"126","boat","Υδατοπαγίδα"
"127","boat","Υδραυλικό τιμόνι"
"128","boat","Κινητήρας εσω-εξωλέμβιος"
"129","boat","Κινητήρας εξωλέμβιος"
"130","boat","Κλιματισμός(A/C)"
"30","car","Ράδιοκασετ/νο"
"133","boat","Με Τρέιλερ"
"135","boat","Γεννήτριες"
"137","boat","Πασαρέλα"
"141","boat","Radar"
"142","boat","Αφαλάτωση"
"143","boat","Βυθόμετρο"
"144","boat","Ηλεκτρ. εργάτης άγκυρας"
"146","boat","Κινητήρας εσωλέμβιος"
"147","boat","Κουζίνα"
"148","boat","Προβολείς"
"156","car","Υπολογιστής Ταξιδιού"
"151","boat","Μπάνιο"
"12","car","CD Player"
"153","boat","TV"
"31","car","Αντικλεπτικό GPS"
"33","car","Ηλεκτρικά Καθίσματα"
"32","car","Θερμαινόμενα Καθίσματα"
"155","car","Αισθητήρας Βροχής"
"157","car","Αερανάρτηση"
"158","car","Bluetooth"
"160","car","Cruise Control"
"161","car","Αναπηρικό"
"21","car","Δερμάτινα Καθίσματα"
"3","car","Turbo"
"4","car","Συναγερμός"
"5","car","Bucket Καθίσματα"
"548","bicycle","Αναδιπλούμενο"
"11","car","Τιμή χωρίς ΦΠΑ"
"258","motorhome","Καλοριφέρ"
"14","car","Ηλεκτρικοί Καθρέφτες"
"15","car","Κεντρικό κλείδωμα"
"17","car","ESP"
"259","motorhome","Κλιματισμός (A/C)"
"23","car","Κοτσαδόρος"
"20","car","Ζάντες αλουμινίου"
"25","car","Ηλεκτρικά παράθυρα"
"26","car","ABS"
