"category_id","vtype","name"
"10","car","Κόμπι/Kάραβαν"
"477","truck","Καταβρεκτήρας"
"484","bike","Τρέιλερ"
"491","watersport","Δίχτυα/Δολώματα"
"498","watersport","Ιστιοπλοία"
"506","boat","Επιβατικό/οχηματαγωγό"
"471","tractor","Σκάλα Υδραυλική"
"485","car","Αγωνιστικό"
"492","watersport","Καλάμια"
"507","boat","Επιβατικό/Τουριστικό"
"12","car","Κάμπριο/Roadster"
"19","bike","Τετράτροχη-ATV "
"15","car","Κουπέ-σπόρ"
"20","bike","Custom"
"23","bike","Super Motard"
"24","bike","Roller/Scooter"
"26","bike","Τρίτροχη"
"27","bike","Motocross"
"28","bike","Μοτοποδήλατο"
"29","bike","Μηχανή δρόμου"
"30","bike","On/Off"
"32","bike","Τσόπερ"
"16","car","Αλλο"
"21","bike","Αλλο"
"248","truck","Αλλο"
"665","car","Επαγγελματικό Eπιβατικό"
"666","bicycle","Τετράτροχο"
"667","radiocontrol","Αερογράφοι Μοντελισμού"
"18","car","4Χ4/Τζιπ/SUV"
"486","watersport","Μπανάνα"
"668","radiocontrol","Ελικόπτερα"
"669","bicycle","Fat Bikes"
"516","truck","Τζαμάδικο"
"670","tractor","Μελισσοκομικά"
"37","trailer","Καρότσα"
"41","trailer","Βυτίο"
"260","truck","Κόφα"
"671","tractor","Θερμοκήπια"
"182","tractor","Χορτοδετικά"
"337","truck","Σασί"
"206","tractor","Κλαδευτικά"
"361","trailer","Τζαμάδικο"
"363","trailer","Ανυψωτικό"
"368","trailer","Πλατφόρμα"
"202","tractor","Παρελκόμενα"
"672","caravan","Τρέιλερ - Τροχοσκηνή"
"43","truck","Σκουπιδιάρικο"
"46","truck","υnimog"
"51","truck","Τρέιλερ"
"54","truck","Φορτηγό με αλλαζόμενη καρότσα"
"13","car","Λιμουζίνα/Sedan"
"404","gokart","Αλλο"
"56","truck","Σιλοφόρο"
"58","truck","Κοντέινερ"
"60","truck","Σάρωθρο"
"61","truck","Πρέσσα"
"55","trailer","Σασί"
"127","builder","Ντάμπερ - DUMPER"
"108","builder","Finisher"
"112","builder","Wagon Drill"
"31","bike","Εnduro"
"169","boat","Αλλο"
"261","truck","Ψυγείο"
"238","bike","Βuggy"
"501","truck","Κάδοι"
"45","truck","Βυτίο-Καυσίμων"
"167","boat","Άνοιγμα"
"165","boat","Sport"
"172","boat","Φουσκωτά"
"173","boat","Κινητήρες - Μηχανές"
"168","boat","Fly / Yachts"
"175","boat","Ιστιοφόρα"
"177","boat","Αλιευτικά"
"204","tractor","Λάστιχα"
"338","truck","Μεταφοράς Μηχανημάτων-Πλατφόρμα"
"181","boat","Τρέιλερ"
"183","tractor","Μηχανήματα Αρμέγματος/εκτροφής"
"186","tractor","Πατατοφυτευτής"
"187","tractor","Τευτοεξαγωγική"
"188","tractor","Χορτοσυλέκτες"
"189","tractor","Χορτοκοπτικά"
"190","tractor","Τουρμπίνες"
"191","tractor","Σπαρτικά"
"192","tractor","Σκαλιστήρια"
"193","tractor","Σβωλοκόπτες"
"184","tractor","Φρέζες"
"646","taxi","Αλλο"
"515","builder","Δεματοποιητές"
"386","forklift","Τηλεσκοπικά"
"500","builder","Μεταφορικές ταινίες"
"42","van","Αλλο"
"123","builder","Πασαλομπήχτες"
"124","builder","Πιρούνια"
"651","builder","Τηλεσκοπικοί φορτωτές"
"133","builder","Μηχανήματα λατομείου"
"134","builder","Μαχαίρια"
"106","builder","Τηλεσκοπικά Περονοφόρα"
"107","builder","Παρελκόμενα"
"109","builder","Εκσκαφέας-Φορτωτής"
"110","builder","Φρέζες"
"111","builder","Ψαλίδια"
"113","builder","Φορτωτάκι"
"114","builder","Φορτωτής με ερπύστριες"
"115","builder","Φορτωτής με λάστιχα"
"116","builder","Σφυριά"
"117","builder","Σκούπες"
"514","builder","Αποφρακτικά"
"366","trailer","Μεταφοράς Αυτοκινήτων"
"7","car","Τρέιλερ Αυτοκινήτου"
"36","trailer","Ψυγείο"
"194","tractor","Σβάρνα, Δισκοσβάρνα"
"196","tractor","Ποτιστικά"
"197","tractor","Πρέσες"
"198","tractor","Πατατοεξαγωγέας"
"199","tractor","Μαχαίρια"
"200","tractor","Μηχανήματα διασποράς"
"203","tractor","Αλλο"
