"make_id","name"
"5265","4ever"
"6492","A2B"
"5454","A2pro"
"5095","AB"
"6231","Abarth"
"691","Abbate"
"5971","Abbriata"
"71","ABG"
"5380","Abi"
"5358","AB Inflatables"
"5338","Absolute"
"5539","Abus"
"6278","AC"
"5725","Accell Group"
"5080","Access"
"6289","Access Motor"
"72","Accord"
"695","Achambault"
"189","Ackermann"
"5811","Acma"
"3831","Acura"
"3892","Acxa"
"702","Adams"
"5096","Adiva"
"5075","Adler"
"5097","Adly"
"3850","Adria"
"5424","Adriatica"
"363","Adriatik"
"5209","Adventure"
"5537","AEG"
"5544","Aegean"
"6601","Aegeon"
"68","Aeon"
"6386","Aerotech"
"6108","Afoi-Tsikou"
"6354","Afsaridis Agro"
"5000","Agados"
"6355","Agama"
"6087","Agapi"
"73","Agco - Massey Ferguson"
"6290","AGM motors"
"688","Agria"
"3908","Agricolanocese"
"6107","Agricom"
"339","Agrimaster"
"6456","Agrimir"
"6230","Agriton"
"6117","Agroafsaridis"
"5806","Agrocat"
"5476","Agrofiera"
"6520","Agrokem"
"5063","Agrolux"
"6362","Agroma"
"6415","Agromag"
"674","Agromehanika"
"6524","AgroPaKo"
"6517","Agrosales"
"6249","AgroTarget"
"5703","Agrotika"
"5656","Agrotis"
"6367","Ahd"
"5376","Ahellas"
"75","Ahlmann"
"364","Ahorn"
"5788","Aicon"
"3902","Aie"
"5726","Airbike"
"5577","AirHull"
"6366","AirInside"
"6413","Airmann"
"5585","Airnimal"
"5148","Airon Marine"
"5441","Airship"
"67","Aixam"
"6044","AJP"
"5688","Akerman"
"722","Akhir"
"5727","Alan"
"739","Alfa"
"5958","Alfamarine"
"1","Alfa Romeo"
"5001","Algema"
"5588","Alibaba"
"3885","Alien"
"5675","Alke"
"675","Allgaier"
"761","Aloa"
"5064","Alpego"
"365","Alpha"
"2","Alpina"
"5525","Alunautic"
"784","Amazon"
"76","Amazone"
"789","American"
"6291","American Ironhorse"
"77","Ammann"
"5100","AMS"
"3912","Amstrong"
"5181","Anderson Racing"
"5635","Angeloni"
"6368","Angulo"
"78","Annaburger"
"5641","Annovi"
"5466","Ansmann"
"5177","Ansmann Racing"
"79","Anssems"
"6339","Antavoglou"
"5587","A-ok"
"6208","Apache"
"811","Apex"
"5451","Apokotos"
"5319","Apreamare"
"62","Aprilia"
"6360","Aquaglide"
"5803","Aqualum"
"824","Aquamar"
"5807","Aquarius"
"830","Aqua-Star"
"835","Ar"
"366","Arca"
"5547","Arctic"
"60","Arctic Cat"
"714","Argo-Hellas"
"6458","Argon"
"5070","Ariel"
"844","Arimar"
"6015","Armanni"
"5101","Armec"
"851","Arrow"
"857","Artigiana"
"348","Artison"
"5467","Art Tech"
"5322","Arvor"
"442","Asea"
"638","Asia Motors"
"861","Asie"
"5456","Asimonis"
"5136","Aspes"
"3864","Asso"
"5185","Associated"
"5569","Assos"
"864","Astondoa"
"3","Aston Martin"
"432","Astra"
"5877","Asus"
"5405","Atala"
"5833","Atala Shape"
"874","Atlantic"
"80","Atlas"
"6016","Atlet"
"5514","Atomic"
"5306","Attack"
"6461","Attitude"
"4","Audi"
"5802","Ausa"
"639","Austin Healey"
"5","Austin Morris"
"54","Austin Rover"
"5989","Author"
"3900","Autobianchi"
"611","Autoroller"
"612","Autostar"
"81","Auwärter"
"5713","Avalanche"
"6387","Avanti"
"6469","Avento"
"5939","Avenue"
"5578","Avon"
"5168","Axial"
"6238","Axis"
"6437","Axopar"
